0,1,2,3,4,5,6,7,8,9,10
napkins,whipped/sour cream,,,,,,,,,
pip fruit,white bread,,,,,,,,,
sausage,herbs,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,canned beer,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
soda,margarine,,,,,,,,,
frozen meals,UHT-milk,,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
whole milk,napkins,flour,,,,,,,,
canned beer,brown bread,,,,,,,,,
vinegar,grapes,frozen vegetables,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
beef,mayonnaise,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
yogurt,pastry,,,,,,,,,
sugar,bottled water,,,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
white bread,curd cheese,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
pork,soda,,,,,,,,,
soda,cake bar,,,,,,,,,
tropical fruit,sausage,hamburger meat,zwieback,specialty cheese,domestic eggs,,,,,
grapes,whipped/sour cream,soda,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,pastry,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
oil,misc. beverages,,,,,,,,,
chicken,dishes,,,,,,,,,
pork,soda,,,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
sausage,other vegetables,hard cheese,,,,,,,,
other vegetables,yogurt,whole milk,butter,shopping bags,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,bottled water,,,,,,,,,
soda,white bread,frozen vegetables,,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
root vegetables,domestic eggs,cake bar,napkins,,,,,,,
canned beer,rolls/buns,berries,domestic eggs,,,,,,,
frankfurter,brown bread,,,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
brown bread,other vegetables,,,,,,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
tropical fruit,detergent,,,,,,,,,
grapes,butter,,,,,,,,,
rolls/buns,margarine,soda,,,,,,,,
beef,fruit/vegetable juice,whole milk,,,,,,,,
beef,sausage,,,,,,,,,
chocolate,yogurt,,,,,,,,,
pip fruit,beverages,margarine,soda,,,,,,,
root vegetables,root vegetables,,,,,,,,,
coffee,shopping bags,,,,,,,,,
whipped/sour cream,salty snack,,,,,,,,,
newspapers,newspapers,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
pork,sliced cheese,,,,,,,,,
whipped/sour cream,frozen vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
ham,UHT-milk,margarine,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
butter,domestic eggs,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
whole milk,soft cheese,frozen vegetables,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
soda,whole milk,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
citrus fruit,berries,,,,,,,,,
dish cleaner,frozen potato products,,,,,,,,,
other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
pip fruit,frozen meals,,,,,,,,,
other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
frankfurter,dessert,,,,,,,,,
soda,root vegetables,,,,,,,,,
bottled beer,soda,,,,,,,,,
newspapers,roll products ,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
soda,rolls/buns,,,,,,,,,
bottled beer,chicken,baking powder,curd,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
salt,semi-finished bread,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
newspapers,margarine,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
other vegetables,whole milk,root vegetables,domestic eggs,,,,,,,
whole milk,cat food,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
grapes,frozen vegetables,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pork,pip fruit,,,,,,,,,
bottled water,ice cream,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
onions,yogurt,white bread,,,,,,,,
whole milk,shopping bags,,,,,,,,,
rolls/buns,salty snack,salty snack,,,,,,,,
soda,soda,,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
beverages,bottled water,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
canned beer,other vegetables,dessert,pastry,,,,,,,
other vegetables,yogurt,,,,,,,,,
citrus fruit,pastry,newspapers,chewing gum,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
beef,pork,salty snack,abrasive cleaner,pasta,shopping bags,,,,,
pork,grapes,hygiene articles,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
chewing gum,sugar,,,,,,,,,
meat,beef,yogurt,yogurt,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
citrus fruit,brown bread,specialty chocolate,,,,,,,,
ham,other vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,candy,salt,,,,,,,,
citrus fruit,yogurt,citrus fruit,sausage,hard cheese,napkins,margarine,cream cheese ,,,
rolls/buns,other vegetables,,,,,,,,,
berries,candy,,,,,,,,,
rolls/buns,beef,,,,,,,,,
citrus fruit,candy,,,,,,,,,
sugar,canned vegetables,,,,,,,,,
pastry,other vegetables,other vegetables,butter milk,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
chicken,baking powder,,,,,,,,,
tropical fruit,brown bread,whole milk,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
bottled beer,curd,,,,,,,,,
dessert,nut snack,bottled water,,,,,,,,
canned beer,domestic eggs,whole milk,,,,,,,,
chicken,brown bread,,,,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
herbs,cereals,,,,,,,,,
root vegetables,whole milk,zwieback,,,,,,,,
bottled water,bottled water,,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
beef,yogurt,,,,,,,,,
soda,meat,,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
onions,canned beer,flower (seeds),,,,,,,,
beef,rum,brown bread,,,,,,,,
hamburger meat,spices,chocolate,,,,,,,,
sausage,other vegetables,mayonnaise,seasonal products,,,,,,,
sausage,chocolate,,,,,,,,,
spread cheese,tropical fruit,domestic eggs,bottled water,,,,,,,
pork,onions,,,,,,,,,
soda,other vegetables,,,,,,,,,
hamburger meat,tropical fruit,beverages,yogurt,soda,,,,,,
bottled beer,salty snack,napkins,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
chicken,soda,,,,,,,,,
specialty bar,candles,,,,,,,,,
UHT-milk,candles,,,,,,,,,
hamburger meat,whipped/sour cream,sugar,newspapers,,,,,,,
rolls/buns,cream cheese ,margarine,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,canned beer,,,,,,,,,
beverages,chewing gum,rolls/buns,,,,,,,,
citrus fruit,dessert,newspapers,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
turkey,bottled water,other vegetables,newspapers,,,,,,,
pastry,whole milk,dessert,,,,,,,,
butter,other vegetables,,,,,,,,,
ham,hamburger meat,whole milk,margarine,,,,,,,
citrus fruit,baking powder,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
ham,beverages,margarine,,,,,,,,
beef,herbs,oil,,,,,,,,
citrus fruit,white bread,pastry,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
berries,tropical fruit,rolls/buns,pastry,rolls/buns,whole milk,frozen vegetables,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
chewing gum,yogurt,,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
candy,shopping bags,,,,,,,,,
chicken,condensed milk,,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
whole milk,other vegetables,white bread,,,,,,,,
berries,pip fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
rolls/buns,shopping bags,whole milk,,,,,,,,
soda,soda,,,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
other vegetables,dessert,,,,,,,,,
canned beer,chocolate,,,,,,,,,
shopping bags,margarine,,,,,,,,,
pastry,brown bread,,,,,,,,,
other vegetables,dessert,,,,,,,,,
soda,newspapers,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
UHT-milk,bottled water,,,,,,,,,
butter milk,specialty chocolate,,,,,,,,,
waffles,fruit/vegetable juice,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
sausage,bottled water,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
pip fruit,pasta,,,,,,,,,
soda,brown bread,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
curd,citrus fruit,rolls/buns,other vegetables,dessert,,,,,,
rolls/buns,rolls/buns,specialty bar,,,,,,,,
chicken,herbs,,,,,,,,,
pip fruit,soda,popcorn,,,,,,,,
ham,liquor (appetizer),,,,,,,,,
sauces,rolls/buns,,,,,,,,,
whole milk,napkins,,,,,,,,,
dish cleaner,whole milk,canned fish,,,,,,,,
grapes,rolls/buns,,,,,,,,,
pip fruit,beverages,,,,,,,,,
UHT-milk,citrus fruit,frozen vegetables,,,,,,,,
soda,yogurt,,,,,,,,,
yogurt,soda,,,,,,,,,
other vegetables,cream cheese ,tropical fruit,root vegetables,specialty chocolate,,,,,,
tropical fruit,soda,,,,,,,,,
liver loaf,pip fruit,,,,,,,,,
hamburger meat,other vegetables,frozen dessert,oil,,,,,,,
whole milk,pork,other vegetables,domestic eggs,,,,,,,
onions,hamburger meat,whole milk,tropical fruit,pet care,root vegetables,yogurt,flour,,,
salt,oil,,,,,,,,,
butter,coffee,,,,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
sausage,root vegetables,soda,,,,,,,,
other vegetables,tidbits,dental care,,,,,,,,
chicken,butter,,,,,,,,,
pip fruit,soda,,,,,,,,,
canned beer,salty snack,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
butter,candy,candy,,,,,,,,
baking powder,bottled water,,,,,,,,,
coffee,softener,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
tropical fruit,whole milk,brown bread,pastry,,,,,,,
pastry,UHT-milk,,,,,,,,,
bottled beer,shopping bags,soda,,,,,,,,
ham,tropical fruit,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
yogurt,pet care,,,,,,,,,
meat,bottled water,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
sausage,newspapers,salty snack,soda,,,,,,,
other vegetables,dishes,,,,,,,,,
sausage,dessert,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
soda,canned beer,citrus fruit,frozen meals,,,,,,,
onions,hamburger meat,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,beef,root vegetables,newspapers,,,,,,,
chocolate,whole milk,,,,,,,,,
beef,pastry,yogurt,chewing gum,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
frankfurter,chocolate,pip fruit,margarine,butter,napkins,,,,,
sausage,rolls/buns,misc. beverages,processed cheese,,,,,,,
chicken,pork,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
whole milk,onions,,,,,,,,,
pork,cream cheese ,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
root vegetables,whole milk,bottled water,canned vegetables,,,,,,,
pork,rolls/buns,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
berries,dog food,,,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
finished products,pip fruit,curd,pork,curd,whipped/sour cream,whole milk,,,,
chicken,tropical fruit,,,,,,,,,
curd,misc. beverages,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
hygiene articles,napkins,,,,,,,,,
frozen meals,onions,frozen vegetables,,,,,,,,
other vegetables,rolls/buns,waffles,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
candy,soda,,,,,,,,,
yogurt,yogurt,,,,,,,,,
pork,pastry,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
canned beer,beverages,specialty bar,other vegetables,make up remover,specialty chocolate,curd,,,,
other vegetables,dishes,newspapers,,,,,,,,
white wine,coffee,,,,,,,,,
beverages,canned fish,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
beef,soda,,,,,,,,,
pork,sweet spreads,,,,,,,,,
margarine,specialty bar,,,,,,,,,
berries,whole milk,,,,,,,,,
rolls/buns,red/blush wine,canned beer,,,,,,,,
photo/film,soda,cream cheese ,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
pickled vegetables,canned beer,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
butter,other vegetables,yogurt,,,,,,,,
hamburger meat,candles,,,,,,,,,
ice cream,pastry,,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
sliced cheese,napkins,,,,,,,,,
sausage,liver loaf,dish cleaner,white bread,canned beer,dishes,white wine,brown bread,,,
yogurt,whipped/sour cream,,,,,,,,,
berries,canned fish,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
canned beer,coffee,flour,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables,,,
flower soil/fertilizer,butter milk,,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
yogurt,waffles,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
chicken,soups,bottled water,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
bottled water,bottled water,,,,,,,,,
dessert,curd,,,,,,,,,
waffles,yogurt,,,,,,,,,
cooking chocolate,shopping bags,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
bottled water,whole milk,,,,,,,,,
yogurt,margarine,,,,,,,,,
tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,,
female sanitary products,margarine,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
rolls/buns,soda,other vegetables,pip fruit,,,,,,,
other vegetables,other vegetables,whole milk,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
onions,liquor (appetizer),,,,,,,,,
newspapers,soups,,,,,,,,,
UHT-milk,tea,,,,,,,,,
meat,domestic eggs,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
grapes,yogurt,hygiene articles,,,,,,,,
brown bread,flour,,,,,,,,,
onions,root vegetables,domestic eggs,chocolate,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
newspapers,root vegetables,,,,,,,,,
sausage,detergent,,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
salty snack,pip fruit,,,,,,,,,
soda,soda,,,,,,,,,
whole milk,yogurt,shopping bags,,,,,,,,
other vegetables,finished products,beef,whole milk,chocolate,sugar,,,,,
misc. beverages,fruit/vegetable juice,,,,,,,,,
canned beer,specialty chocolate,other vegetables,cream cheese ,,,,,,,
coffee,white bread,,,,,,,,,
frankfurter,frankfurter,long life bakery product,newspapers,pip fruit,whipped/sour cream,hygiene articles,,,,
other vegetables,chewing gum,,,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
frankfurter,root vegetables,sugar,whole milk,,,,,,,
whole milk,soda,tea,,,,,,,,
meat,detergent,roll products ,,,,,,,,
tropical fruit,sugar,,,,,,,,,
pip fruit,seasonal products,,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,sugar,,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
root vegetables,soups,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
pork,frozen meals,margarine,dessert,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
onions,rolls/buns,,,,,,,,,
whole milk,yogurt,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
